# id	source	author	licence
otter	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
owl	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
palm	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
peacock	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
pegasus	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
pelican	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
pheon	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
phoenix	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
pike	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
pineapple	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
poppy	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
quatrefoil	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
quill	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
rabbit	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
ram	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
raven	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
rooster	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
rose	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
roundel	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
salamander	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
salmon	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
scales	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
scroll	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
scythe	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
seadragon	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
sealion	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
serpent	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
shamrock	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
shark	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
shears	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
ship	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
spear	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
sphinx	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
squirrel	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
stag	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
sun	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
sunflower	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
swan	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
sword	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
thistle	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
tiger	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
tower	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
tree	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
trefoil	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
trident	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
triskele	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
unicorn	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
vine	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
whale	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
wolf	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
wyvern	https://drawshield.net (Drawshield-Code svg/charges)	Karl Wilcox & DrawShield contributors	GPLv3 repo / mixed PD+CC art
